Response ID:,Submitting author name:,Proposal title:,Background/Rationale: ,Study aims/Hypothesis: ,Study variables: ,Proposed analysis:,Significance of research:
8,Carmen Balian,Evaluation of the effect of time and location of Cerebrovascular Disease on Retinal Ganglion cell layer thickness,,,,,
17,Erin Turner,"Feasibility of a continuous, multi-sensor remote health monitoring approach in neurodegenerative disease populations",,,,,
27,Frederico Pieruccini-Faria,Association Between Gait Speed and Activities of Daily Living Across Neurodegenerative Disorders: An ONDRI Study.,"In our article published in the Journal of Alzheimer's Disease 2017 describing the ONDRI Gait and Balance protocol we postulated that motor performance across neurodegenerative disorders is an important marker of disease progression and disability. The gradual loss of independence to perform activities of daily living (ADL) is the most important precursor of disability, and can be accelerated by chronic diseases that impacts motor and cognitive performances. Hence, neurodegenerative disorders may accelerate the decline in ADLs given their devastating impact on motor and cognitive performances. Gait speed is one the most, if not the most, important global motor indexes, known to be modulated by higher-level cognitive functions (e.g. fast thinking, planning and multi-tasking). Not surprisingly, gait speed is a predictor of ADL in older adults in general. It is unclear, however, whether and how gait speed is associated with ADLs across different neurodegenerative disorders. It is also unknown whether the context in which patients have their gait performance tested in laboratory settings would help reveal significant associations between gait speed and ADLs. Experimental conditions for gait testing can challenge motor-cognitive interactions frequently required during ADLs, which may be useful to expose associations between gait speed and ADL capabilities in patients.","This proposal will test 3 hypotheses: 1- Slower Single-task gait will be associated with both fewer ADLs and impaired global cognition across neurodegenerative disorders; 2- Slower gait assessed during a walking-while-talking condition (i.e. dual-task) will be associated with fewer ADLs, but only in neurodegenerative disorders with greater impact on cognition: Mild Cognitive Impairment/Alzheimer's disease, Cerebrovascular Disease and Frontotemporal Dementia; 3 - Slower gait speed assessed under higher motor stress (i.e. walking as fast as possible) will be associated with fewer ADLs but only in neurodegenerative disorders predominantly affecting motor control including Amyotrophic Lateral Sclerosis and Parkinson's disease.","Participants' demographics, clinical characteristics, gait performance, genomics, cognitive performance and neuroimaging variables at baseline will be extracted from ONDRI databases. The following variables will be used in the study: Gait speed during single-, dual-, fast- task conditions; basic and instrumental ADLs questionnaires; MoCA (Global cognition); Trail Making Test B, Stroop Tests; Symbol Digit Test; APOE-4 genotype at baseline; White matter hyperintensities volume, Normal Appearing White matter volume and Normal appearing Grey Matter Volume adjusted for total brain volume at baseline.","Gait speed tested under single-task, dual-task and fast walking at baseline will be entered as predictors of basic ADLs, instrumental ADLs and Global cognition in a multivariate model (MANOVA). ADLs will be logarithmic transformed to obtain data normality. Gait speed will be adjusted for, age, sex, years of education, cognitive performance, number of comorbidities, APOE-4, white matter hyperintensities volume. This adjustment will be performed through standardized residuals extracted with linear regression models for each gait variable. An aggregate score of executive functions will be entered as a covariate in the analysis when a significant association between gait speed and ADLs are identified. If the association is attenuated or become stronger by more than 10%, then we will consider executive functions as an important mediator of this association. ROC analyses will determine gait speed values to be used as cut-offs for ADL and global cognition impairment.","Clinically, through gait performance cut-offs, clinicians could better estimate disability prognosis in patients with neurodegenerative disorders using a simplified and inexpensive assessment. Mechanistically, this knowledge will pave the path to validate gait speed as biomarker of neurodegeneration. "
OND20141001AT,Angie Troyer,"The Ontario Neurodegenerative Disease Research Initiative (ONDRI): Development and Implementation of a Comprehensive Cognitive, Language, and Motor Speech Longitudinal Neuropsychology Assessment Protocol","The ONDRI Neuropsychology Platform protocol merges complementary clinical neuropsychology, speech-language pathology, speech production, and cognitive neuroscience techniques to provide a unique comprehensive assessment of cognition across five neurodegenerative conditions. Given the extraordinary nature of the protocol, coupled with other research initiatives harmonizing with the ONDRI Neuropsychology Platform, it is imperative to publish a methodological paper on the theoretical development of the test battery, as well as preliminary analyses on the underlying structure of the battery.",The aim of this paper is to provide a description of the theoretical development of the ONDRI Neuropsychology Platform protocol and present preliminary findings on the vascular cognitive impairment (VCI) cohort that highlight the latent structure of the test battery. ,Descriptive study focusing on the design and methods of the ONDRI Neuropsychology battery. Study variables will include the minimum dataset from the Neuropsychology Platform for the VCI cohort at baseline.,Principal component factor analysis (exploratory).,"Harmonization and federation of data is a major goal of the OBI's Integrative Discovery programs, with 'Big Data' becoming an important and novel movement within the scientific community. As such, this paper will help to facilitate collaborative relationships and data leveraging with other research studies at the provincial, national, and international levels.  Importantly, this publication will also serve as a critical reference paper for future ONDRI studies that include the Neuropsychology Platform data."
OND20141031LZ,Lorne Zinman,Multimodal Prediction and of Cognitive Impairment in ALS,"While FTD has been recognized in a subgroup of patients with ALS, the frequency and features of cognitive impairment have been variably reported and characterized in this heterogeneous disease. Predictive features of cognitive impairment can be identified to dichotomize ALS patients into those who may or may not develop FTD. ","This pan-Ontario study aims to prospectively and systematically characterize the cognitive dysfunction in a cohort of subjects with ALS. Cognitive deficits will be correlated with ALS progression/phenotype and genotype along with changes in ocular motility, gait, and structural imaging. In this way, we aim to identify features predictive of cognitive impairment in ALS. Results will then be compared and contrasted to the other neurodegenerative diseases in the study. ",ALS clinical features and multimodal platform evaluations. ,"Multivariable analyses of ALS phenotype (ALSFRS-R, bulbar vs limb dysfunction) with results of multimodal testing (cognition, saccades, genetics, gait and imaging). ",This prospective and systematic characterization of cognitive dysfunction in ALS will determine predictors of frontotemporal dysfunction. These results will enhance our understanding of the interaction between ALS and FTD while providing additional information regarding disease pathogenesis. Biomarkers may also be identified that can serve as reliable therapeutic targets in future clinical trials. 
OND20141104DM,Douglas P Munoz,Using eye movements to identify cognitive and motor impairments in neurodegeneration,"Previous studies have investigated individual disease groups and identified specific abnormalities in voluntary saccade control between the disease group and age matched controls: e.g., Alzheimer's (Peltsch et al. 2014); Mild Cognitive Impairment (Peltsch et al. 2014); Parkinson's disease (Chan et al. 2005; Cameron et al. 2010; 2012); amyotrophic lateral sclerosis (Witiuk et al. 2014). Some of the differences are unique to a disease and others overlap between diseases. The ONDRI provides the unique opportunity to contrast deficits in voluntary saccade control across neurodegenerative disorders to identify similarities and differences that help identify unique behavioural biomarkers.",The aim of this paper is to describe the similarities and differences in control of saccades in the various patient groups followed by ONDRI.,"Patient behavior while completing the interleaved pro/antisaccade task. We will analyze saccade metrics (amplitude, velocity, duration, accuracy, curvature), reaction times, direction errors",NA,The goal is to identify different behavioural biomarkers that are unique or common between the patient groups. This analysis and paper will form the basis for eye tracking data driving correlations/investigations across the other platforms. The study will be based on the analysis of behavior from all 600 patients in the initial patient uptake (2014-2015). This will not impact at all on the longitudinal studies but it will establish the baseline to compare for the longitudinal studies.
OND20141104TL,Tony Lang,Motor and non-motor associations with PD cognitive phenotype: a multi-modal assessment,"The first publication of the ONDRI Parkinson's Disease (PD) group will address correlations and predictions coming from analysis of the baseline clinical and para-clinical data in the PD population. A subsequent study will include evaluation of the genetic load in this population (genetic risk factors for PD, other neurodegenerative diseases, vascular diseases, neuroinflammation) establishing cognitive and other clinical phenotypic differences from those lacking these factors (i.e. 'reverse phenotyping'). The next stage of the evaluation of the baseline data will be to compare and contrast the findings in PD with those of the other disease states participating in ONDRI. ","150 patients with PD of 3-8 years duration stratified by baseline cognitive function (MoCA > 24 and MoCA 19-24) will undergo extensive multimodal ONDRI assessments. The first publication of the PD group will attempt to determine 1) which clinical characteristics predict and correlate with early cognitive dysfunction (as defined on detailed neuropsychological testing as well as the screening MoCA) (e.g. poor levodopa response, greater axial disability); 2) what abnormalities (nature and extent) on the other ONDRI multimodal evaluations predict and correlate with greater cognitive dysfunction (e.g., pattern/severity of alteration in MRI atrophy; greater degree of cerebrovascular changes; specific changes on retinal coherence tomography; greater dysfunction on eye tracking measurements; greater dysfunction on gait analysis). ",Baseline results of all clinical and multimodal evaluations (except genetics). ,"Multivariable analyses adjusting for relevant confounders will be used to examine associations between neuropsychological tests (dependent variable) and UPDRS scores/subscores, MRI findings, OCT measurements, eye movements and gait measures. ",This is a critical and planned initial analysis from the ONDRI project. This will be required for further studies including comparison across disease states as well as evaluation of prospective change in the PD group over time.
OND20141118CT,Miracle Ozzoude ,Investigating the contribution of white matter abnormalities to neuropsychiatric symptoms and changes in social behaviour and personality for patients with Neurodegenerative Diseases,"Neurodegenerative diseases, in addition to cognitive and motoric impairments, also includes neuropsychiatric symptoms and changes in social behaviour and personality. Some neuropsychiatric symptoms such as apathy and aberrant motor behavior are core to a diagnosis of behavioural variant frontotemporal dementia (bvFTD) and we know that neuropsychiatric symptoms have been described in other neurodegenerative diseases such as Alzheimer's disease (AD) and Vascular disease dementia and related to white matter hyperintensities. The prevalence of NPS across the whole spectrum of FTLD including bvFTD, nfvPPA, svPPA, PSP, CBS and FTD-MND and their relationship to WMH is unknown.   Neurodegenerative diseases, in addition to cognitive and motoric impairments, also include neuropsychiatric symptoms and changes in social behaviour and personality. Some neuropsychiatric symptoms such as apathy and aberrant motor behavior are core to a diagnosis of behavioral variant frontotemporal dementia (bvFTD) and we know that neuropsychiatric symptoms have been described in other neurodegenerative diseases such as Alzheimer's disease (AD) and Vascular disease dementia and related to white matter hyperintensities. The prevalence of NPS across all neurodegenerative  diseases and their relationship to WMH is unknown.  Changes in empathy and personality are core to the bvFTD phenotype but these may also be affected in other neurodegenerative diseases. A lack of understanding that these illnesses can affect empathy and personality can lead to frustration and grief in caregivers. The relationship of the changes in empathy and personality to structural changes in the brain including both gray matter structures, white matter tracts and white matter hyperintensities is unknown.","The aim of this study is to compare neuropsychiatric symptoms (NPI), personality changes and empathy across the neurodegenerative diseases included in ONDRI and relate these to WMH volume ,  white matter tract integrity and GM atrophy.  General hypothesis: We hypothesize that changes in social cognition (including empathy), personality and neuropsychiatric symptoms are related to structural changes in the brain but that WMH volume contributes to deficits individuals reduced ability to empathize will correlate with increased WMH, uncinate and atrophy in the frontal and temporal lobe volumes.  Aim 1: Investigate the relationship between empathy, personality and NPS and WMH volume (start with VCI cohort)  Aim 2: Investigate the relationship between empathy, personality and NPS and GM volume (frontal and temporal lobe) (start with VCI cohort)  Aim 3: Investigate the relationship between empathy, personality and NPS and DTI changes in uncinate, thalamic tracts, and others (start with VCI cohort)","NPI, RSMS, SNQ, IRI, DTI, WMH volume and GM volumetrics",Correlations and regression analyses. FSL for DTI tractography. Freesurfer for volumetric analyses. WMH automated software. ,A better understanding of the impact of vascular disease on NPS and changes in personality and empathy across the neurodegenerative disease could influence treatment guidelines as well help develop personalized psychoeducation to caregivers deal with the changes.
OND20141118MM,Manuel Montero-Odasso,Gait and motor phenotype in neurodegenrative disorders.  A protocol for gait and balance analysis for ONDRI (paper 1),"Recent epidemiological studies are showing that motor slowing and slow gait may predict cognitive decline to dementia.  However, it is unknown if this motor decline is part of the motor phenotype across different neurodegenerative disorders.  The ONDRI project provides a unique opportunity to explore common motor abnormalities across the spectrum of aging and neurodegenerative disorders.",To describe a unique protocol/design to assess the potential motor phenotype in neurodegenerative disorders.,Gait and balance performance across the spectrum of ONDRI participants.,N/A,This protocol can set a standardized mobility and gait assessment in neurodegenerative research.  The study will be based on the analysis of gait and balance from all ONDRI participants. This will not impact at all on the longitudinal studies but it will establish the baseline to compare for the longitudinal studies.
OND20141124AR,Angela Roberts,Language and motor speech patterns in Frontotemporal Dementias,"While multiple researchers have investigated the the profiles of cognitive and language abilities in PPA, several 'gaps' in the existing literature exist including:   1) Comprehensive motor speech profiles among clinical FTD subtypes,   2) Comprehensive language and cognitive profiles for PSP, CBD, and behavioural FTD subtypes   3) Comprehensive spoken language profiles (i.e., discourse) among clinical FTD subtypes   4) Comprehensive cognitive, language, and motor speech profiles for genetic subtypes of FTLD   5) Detailed analyses using larger sample sizes that correlate profiles of cognitive, language, and motor speech profiles with subtype-specific patterns of cortical volume measures and more importantly DTI which has been shown to discriminate FTD subtypes (Santillo et al., 2013).   The comprehensive measures collected in the ONDRI protocol facilitate the development of discriminative profiles among FTD subtypes that may improve diagnostic clarity for both management and research purposes. Importantly, such a copious analysis of these data will improve our understanding of the phenotypic representation of the underlying, neuroanatomical, neurocognitive, and neurolinguistic signatures among these dementia subtypes which will inform our knowledge of the underlying substrates for disrupted cognitive and language processes that have both theoretical and clinical implications within FTD and extending to other disorders. ","General hypothesis: Individuals with FTD will demonstrate subtype-specific (clinical diagnosis subtypes and genetic subtypes) cognition, language, and motor speech profiles that are associated with subtype-specific differences in measures of cortical volume and DTI.   Aim 1: Investigate differences in cognitive, language, and motor speech profiles (performance-based standardized measures and spoken language) among clinical diagnostic groups (PSP, CBD, FTD including PNFA, semantic, logopenic, and behavioural variants).   Aim 2: Exploratory nvestigation of differences in cognitive, language, and motor speech profiles (performance-based standardized measures and spoken language) among genetically confirmed subtypes of FTD (e.g., C9orf72).   Aim 3: Correlate cognitive, language, and motor speech profiles with measures of cortical volume and DTI among FTD (clinical and genetic) subtypes. ","1. Standardized measures of cognition, language, motor speech, and discourse data from the neuropsychology and language protocol.   2. Relevant demographic profiles of participants in addition to other relevant descriptive measures such as: depression scale scores, global cognition scores, behavioural inventory scores, hearing screening results, etc.   3. Access to neuroimaging data for measures of cortical volume and DTI   4. Access to genetic testing data ","Where appropriate GLM analysis methods will be used to analyze group differences among measures of interests. If the data allow, discriminant function analyses will be used to create profile algorithms that best discriminate among the clinical and genetic subtypes. Standardized and accepted imaging processing and analysis procedures will be used to correlate profiles of cognitive, language, and motor speech performances with patterns of cortical volume and DTI changes among subtypes. ","Significance / Value 	The current publication will contribute significantly to the existing body of literature relative to discriminative profiles (behavioural and imaging) among FTD subtypes. As outlined above, this work has important theoretical and clinical implications that extend beyond FTD.   Only data collected from the FTD disease group will be used in these analyses. This publication will support cross-disease group data analyses anticipated by the neuropsychology and neuroimaging platforms. "
